#TYPE Selected.System.Management.Automation.PSCustomObject
"GivenName","Surname","StreetAddress","City","Title","Username","Password","Country","TelephoneNumber","Occupation"
"Merci","Boisvert","76 Chemin Des Bateliers","ANNECY","Mrs.","Befloons","ohba5aiSh","France","04.77.85.14.00","Allergist"
"Ganelon","Sanschagrin","11 rue du Président Roosevelt","SAVIGNY-SUR-ORGE","Mr.","Georl1963","eeK3aipech","France","01.59.40.75.92","Real property appraiser"
"Valentine","Galarneau","73 rue du Clair Bocage","LA VALETTE-DU-VAR","Mrs.","Weat1963","gigh4ooNei5","France","04.78.16.56.97","EMT"
"Frédérique","Perillard","39 Avenue Millies Lacroix","EAUBONNE","Mrs.","Upecent70","quaka4aiF2ee","France","01.33.32.18.47","Ratings analyst"
"Alaine","Cressac","61 rue Sébastopol","SAINTE-GENEVIÈVE-DES-BOIS","Ms.","Alem1998","iep4beeWooy","France","01.22.49.29.66","Transplant nurse"
"Porter","Cartier","44 rue Ernest Renan","CHAUMONT","Mr.","Dockly","Oghevu3o","France","03.94.28.10.07","Mail handler"
"Agrican","Duhamel","5 rue de Raymond Poincaré","NEUILLY-SUR-SEINE","Mr.","Nufforabing","LiashieN2oosh","France","01.59.60.35.65","Psychiatric aide"
"Christiane","Grandpré","50 rue de la Boétie","PLAISIR","Ms.","Wagary","PhuoQu0ah","France","01.21.33.17.18","Cost engineer"
"Iven","Laberge","12 rue du Fossé des Tanneurs","THONON-LES-BAINS","Mr.","Falk1938","Reirai3geum","France","04.05.68.89.57","Management consultant"
"Thierry","Lamothe","17 boulevard Albin Durand","CHAMBÉRY","Mr.","Oblactiones","rae8EG2rieb","France","04.34.15.40.34","Electronic equipment repairer"
"Donat","Pinette","84 rue Michel Ange","LE HAVRE","Mr.","Topmer","eil0xa5eQuah","France","02.64.67.34.94","Arbitrator"
"Odo","Bondy","42 rue Ernest Renan","CHAUMONT","Mr.","Cuslichavy68","foogaht5Ae","France","03.85.10.03.71","Crane and tower operator"
"Kari","Cadieux","50 rue Adolphe Wurtz","LE ROBERT","Mrs.","Musenchently","ahjohKi3aoc","France","05.10.67.52.55","Tire builder"
"Sophie","Bourgeois","13 Square de la Couronne","OZOIR-LA-FERRIÈRE","Ms.","Dite1994","oTh1AhNgai","France","01.92.98.32.97","Agricultural engineer"
"Langley","Perreault","36 avenue Ferdinand de Lesseps","GRENOBLE","Mr.","Frours","wai4Iokole9","France","04.11.03.55.47","Help-desk technician"
"Senior","Guédry","5 Place de la Madeleine","PARIS","Mr.","Tharamon","Quair4ahp6","France","01.17.85.35.05","Payroll and timekeeping clerk"
"Amaury","Chaloux","93 rue Descartes","STRASBOURG","Mr.","Congloged","Ochohcoh6ioch","France","03.55.80.76.43","Medical records technician"
"Vedette","Clément","33 rue de la Hulotais","SAINT-POL-SUR-MER","Dr.","Aidell1974","aik9Yeichi8","France","03.24.96.86.05","Locomotive engineer"
"Elita","Mailhot","43 Rue St Ferréol","MEYZIEU","Ms.","Ancions76","ow7BighahCh","France","04.65.67.12.71","Map editor"
